ax,	ay,	az,	ox,	oy,	oz,	dz,	dv,	t
-3.2409e-01,	-3.6813e-01,	1.0032e+01,	-5.7185e-03,	-4.7569e-03,	4.0604e-03,	0.0000e+00,	0,	1460043938096557543,	169849496
-3.2048e-01,	-3.6884e-01,	1.0014e+01,	-5.7648e-03,	-5.6459e-03,	5.3216e-03,	0.0000e+00,	0,	1460043938099039651,	172331604
-3.1761e-01,	-3.6244e-01,	1.0025e+01,	-4.1156e-03,	-6.9537e-03,	4.1978e-03,	0.0000e+00,	0,	1460043938101572424,	174864377
-3.2349e-01,	-3.4579e-01,	1.0040e+01,	-3.5205e-03,	-7.8410e-03,	2.7243e-03,	0.0000e+00,	0,	1460043938104071407,	177363360
-3.3402e-01,	-3.4451e-01,	1.0037e+01,	-4.2863e-03,	-7.5461e-03,	2.3358e-03,	0.0000e+00,	0,	1460043938106513264,	179805217
-3.3668e-01,	-3.5795e-01,	1.0023e+01,	-5.2683e-03,	-7.0289e-03,	3.4122e-03,	0.0000e+00,	0,	1460043938109049621,	182341574
-3.3885e-01,	-3.7051e-01,	1.0021e+01,	-5.9360e-03,	-6.4325e-03,	5.2416e-03,	0.0000e+00,	0,	1460043938111572478,	184864431
-3.3743e-01,	-3.6581e-01,	1.0025e+01,	-5.9519e-03,	-6.4367e-03,	6.7308e-03,	0.0000e+00,	0,	1460043938114052294,	187344247
-3.3677e-01,	-3.4074e-01,	1.0023e+01,	-6.2233e-03,	-7.3049e-03,	6.3040e-03,	0.0000e+00,	0,	1460043938116519818,	189811771
-3.3688e-01,	-3.2334e-01,	1.0007e+01,	-6.4857e-03,	-7.8225e-03,	4.5578e-03,	0.0000e+00,	0,	1460043938119061966,	192353919
-3.3277e-01,	-3.3551e-01,	9.9981e+00,	-5.6369e-03,	-8.2891e-03,	3.0725e-03,	0.0000e+00,	0,	1460043938121524990,	194816943
-3.2328e-01,	-3.5823e-01,	1.0008e+01,	-5.1258e-03,	-8.2709e-03,	2.7427e-03,	0.0000e+00,	0,	1460043938124020973,	197312926
-3.1891e-01,	-3.7127e-01,	1.0032e+01,	-5.5433e-03,	-7.1339e-03,	3.6439e-03,	0.0000e+00,	0,	1460043938126562413,	199854366
-3.2500e-01,	-3.7232e-01,	1.0062e+01,	-6.1465e-03,	-6.2051e-03,	3.5526e-03,	0.0000e+00,	0,	1460043938129030770,	202322723
-3.3417e-01,	-3.6501e-01,	1.0080e+01,	-6.5773e-03,	-5.9096e-03,	2.4613e-03,	0.0000e+00,	0,	1460043938131514336,	204806289
-3.3875e-01,	-3.5391e-01,	1.0074e+01,	-6.5330e-03,	-5.2821e-03,	1.5081e-03,	0.0000e+00,	0,	1460043938134068484,	207360437
-3.3726e-01,	-3.5433e-01,	1.0036e+01,	-6.0690e-03,	-5.6322e-03,	1.3874e-03,	0.0000e+00,	0,	1460043938136564675,	209856628
-3.2763e-01,	-3.6161e-01,	1.0005e+01,	-5.1314e-03,	-6.1746e-03,	1.4991e-03,	0.0000e+00,	0,	1460043938139013366,	212305319
-3.1539e-01,	-3.6611e-01,	1.0012e+01,	-4.8562e-03,	-5.7547e-03,	1.5858e-03,	0.0000e+00,	0,	1460043938141536556,	214828509
-3.1297e-01,	-3.7382e-01,	1.0027e+01,	-5.5837e-03,	-5.1296e-03,	2.2225e-03,	1.3480e-01,	1,	1460043938144072080,	217364033
-3.1781e-01,	-3.7874e-01,	1.0029e+01,	-5.7753e-03,	-5.8586e-03,	3.0907e-03,	0.0000e+00,	0,	1460043938146513479,	219805432
-3.2754e-01,	-3.6298e-01,	1.0026e+01,	-5.2528e-03,	-6.3961e-03,	4.3221e-03,	0.0000e+00,	0,	1460043938149036669,	222328622
-3.3862e-01,	-3.3952e-01,	1.0019e+01,	-4.9811e-03,	-5.9012e-03,	5.0304e-03,	0.0000e+00,	0,	1460043938151535485,	224827438
-3.4548e-01,	-3.2638e-01,	1.0027e+01,	-5.2152e-03,	-5.3385e-03,	4.5909e-03,	1.3479e-01,	1,	1460043938154022050,	227314003
-3.4360e-01,	-3.3308e-01,	1.0029e+01,	-5.6461e-03,	-4.9794e-03,	3.3203e-03,	0.0000e+00,	0,	1460043938156535741,	229827694
-3.3097e-01,	-3.5154e-01,	1.0018e+01,	-6.1717e-03,	-5.1708e-03,	2.7436e-03,	0.0000e+00,	0,	1460043938159020265,	232312218
-3.2992e-01,	-3.5970e-01,	1.0013e+01,	-6.2567e-03,	-6.4414e-03,	2.8404e-03,	0.0000e+00,	0,	1460043938161513830,	234805783
-3.3569e-01,	-3.5482e-01,	1.0011e+01,	-6.1933e-03,	-8.3309e-03,	3.6139e-03,	1.3484e-01,	1,	1460043938164044645,	237336598
-3.3824e-01,	-3.4571e-01,	1.0016e+01,	-5.6746e-03,	-8.9050e-03,	4.8277e-03,	0.0000e+00,	0,	1460043938166514836,	239806789
-3.2962e-01,	-3.4128e-01,	1.0026e+01,	-4.5683e-03,	-7.7776e-03,	5.1021e-03,	0.0000e+00,	0,	1460043938169016318,	242308271
-3.1905e-01,	-3.4572e-01,	1.0038e+01,	-4.5742e-03,	-6.2753e-03,	3.4912e-03,	0.0000e+00,	0,	1460043938171538384,	244830337
-3.2137e-01,	-3.4972e-01,	1.0042e+01,	-6.6893e-03,	-5.0551e-03,	2.3522e-03,	0.0000e+00,	0,	1460043938174022158,	247314111
-3.3622e-01,	-3.4661e-01,	1.0039e+01,	-8.0129e-03,	-5.3269e-03,	1.7031e-03,	0.0000e+00,	0,	1460043938176524181,	249816134
-3.3710e-01,	-3.4478e-01,	1.0035e+01,	-7.1469e-03,	-6.5825e-03,	4.7051e-04,	0.0000e+00,	0,	1460043938179031455,	252323408
-3.2299e-01,	-3.5459e-01,	1.0033e+01,	-5.6301e-03,	-7.7372e-03,	6.7796e-04,	0.0000e+00,	0,	1460043938181523646,	254815599
-3.2129e-01,	-3.6349e-01,	1.0040e+01,	-5.3251e-03,	-7.4787e-03,	2.7831e-03,	0.0000e+00,	0,	1460043938184032086,	257324039
-3.2960e-01,	-3.5659e-01,	1.0043e+01,	-6.0702e-03,	-6.8484e-03,	5.2536e-03,	0.0000e+00,	0,	1460043938186539652,	259831605
-3.3883e-01,	-3.4786e-01,	1.0040e+01,	-6.5278e-03,	-6.2131e-03,	5.8660e-03,	0.0000e+00,	0,	1460043938189029217,	262321170
-3.4366e-01,	-3.5392e-01,	1.0041e+01,	-5.7604e-03,	-6.2424e-03,	4.3543e-03,	0.0000e+00,	0,	1460043938191518366,	264810319
-3.4250e-01,	-3.6375e-01,	1.0041e+01,	-4.6669e-03,	-6.3614e-03,	3.2686e-03,	0.0000e+00,	0,	1460043938194047640,	267339593
-3.3236e-01,	-3.6140e-01,	1.0040e+01,	-4.3754e-03,	-6.0633e-03,	3.4808e-03,	0.0000e+00,	0,	1460043938196541247,	269833200
-3.2302e-01,	-3.4893e-01,	1.0033e+01,	-4.6728e-03,	-5.5759e-03,	4.4843e-03,	0.0000e+00,	0,	1460043938199015854,	272307807
-3.2240e-01,	-3.3863e-01,	1.0025e+01,	-5.4618e-03,	-6.0072e-03,	5.4830e-03,	0.0000e+00,	0,	1460043938201526503,	274818456
-3.2401e-01,	-3.4073e-01,	1.0025e+01,	-5.9516e-03,	-5.5563e-03,	5.9489e-03,	0.0000e+00,	0,	1460043938204042194,	277334147
-3.3147e-01,	-3.5116e-01,	1.0032e+01,	-7.0638e-03,	-4.0160e-03,	4.6285e-03,	0.0000e+00,	0,	1460043938206527884,	279819837
-3.3833e-01,	-3.6169e-01,	1.0034e+01,	-8.2815e-03,	-3.0644e-03,	3.6029e-03,	0.0000e+00,	0,	1460043938209021325,	282313278
-3.3002e-01,	-3.6748e-01,	1.0042e+01,	-8.2493e-03,	-4.1788e-03,	3.7277e-03,	0.0000e+00,	0,	1460043938211532640,	284824593
-3.1610e-01,	-3.6517e-01,	1.0064e+01,	-8.0208e-03,	-6.2053e-03,	5.2955e-03,	0.0000e+00,	0,	1460043938214029706,	287321659
-3.1418e-01,	-3.6000e-01,	1.0072e+01,	-6.8029e-03,	-7.4708e-03,	6.9941e-03,	0.0000e+00,	0,	1460043938216526730,	289818683
-3.1941e-01,	-3.5888e-01,	1.0057e+01,	-5.1501e-03,	-7.3711e-03,	7.7662e-03,	0.0000e+00,	0,	1460043938219037670,	292329623
-3.1416e-01,	-3.5659e-01,	1.0044e+01,	-4.3790e-03,	-6.4994e-03,	6.2307e-03,	0.0000e+00,	0,	1460043938221541485,	294833438
-3.0453e-01,	-3.5324e-01,	1.0043e+01,	-4.5558e-03,	-5.7016e-03,	3.3893e-03,	0.0000e+00,	0,	1460043938224023843,	297315796
-3.0182e-01,	-3.5554e-01,	1.0044e+01,	-5.1180e-03,	-5.4463e-03,	2.0852e-03,	0.0000e+00,	0,	1460043938226551616,	299843569
-3.0876e-01,	-3.6414e-01,	1.0051e+01,	-5.4885e-03,	-5.1009e-03,	1.6282e-03,	0.0000e+00,	0,	1460043938229053682,	302345635
-3.2157e-01,	-3.7920e-01,	1.0047e+01,	-5.4461e-03,	-5.0688e-03,	1.3101e-03,	0.0000e+00,	0,	1460043938231530289,	304822242
-3.2942e-01,	-3.8833e-01,	1.0033e+01,	-5.0244e-03,	-5.3482e-03,	1.4302e-03,	0.0000e+00,	0,	1460043938234048146,	307340099
-3.3131e-01,	-3.9406e-01,	1.0027e+01,	-4.7260e-03,	-5.6819e-03,	2.1825e-03,	1.3481e-01,	1,	1460043938236566295,	309858248
-3.2915e-01,	-3.9377e-01,	1.0033e+01,	-4.5197e-03,	-6.0574e-03,	2.4638e-03,	0.0000e+00,	0,	1460043938239035152,	312327105
-3.2908e-01,	-3.7794e-01,	1.0041e+01,	-4.6691e-03,	-5.8929e-03,	1.6426e-03,	0.0000e+00,	0,	1460043938241554509,	314846462
-3.3074e-01,	-3.5209e-01,	1.0041e+01,	-4.6827e-03,	-6.2733e-03,	1.5891e-03,	0.0000e+00,	0,	1460043938244064825,	317356778
-3.2974e-01,	-3.4120e-01,	1.0038e+01,	-4.9582e-03,	-6.0778e-03,	2.9467e-03,	1.3481e-01,	1,	1460043938246548515,	319840468
-3.2626e-01,	-3.4536e-01,	1.0032e+01,	-4.7137e-03,	-5.9085e-03,	2.6734e-03,	0.0000e+00,	0,	1460043938249057289,	322349242
-3.2816e-01,	-3.5112e-01,	1.0018e+01,	-3.6433e-03,	-5.7576e-03,	1.1289e-03,	0.0000e+00,	0,	1460043938251564146,	324856099
-3.3599e-01,	-3.5143e-01,	1.0023e+01,	-3.3548e-03,	-5.5371e-03,	5.6261e-04,	0.0000e+00,	0,	1460043938254043004,	327334957
-3.3751e-01,	-3.5076e-01,	1.0049e+01,	-4.7956e-03,	-6.1704e-03,	1.6210e-03,	1.3480e-01,	1,	1460043938256567402,	329859355
-3.3183e-01,	-3.5478e-01,	1.0081e+01,	-6.4463e-03,	-7.2565e-03,	4.2607e-03,	0.0000e+00,	0,	1460043938259048801,	332340754
-3.2463e-01,	-3.6465e-01,	1.0090e+01,	-6.0687e-03,	-7.6750e-03,	5.2891e-03,	0.0000e+00,	0,	1460043938261542492,	334834445
-3.1756e-01,	-3.6926e-01,	1.0079e+01,	-3.4849e-03,	-6.8626e-03,	3.6252e-03,	0.0000e+00,	0,	1460043938264060390,	337352343
-3.0872e-01,	-3.5831e-01,	1.0064e+01,	-1.9203e-03,	-5.6389e-03,	2.0974e-03,	0.0000e+00,	0,	1460043938266551331,	339843284
-2.9916e-01,	-3.5052e-01,	1.0058e+01,	-3.0725e-03,	-5.8635e-03,	3.0620e-03,	0.0000e+00,	0,	1460043938269051563,	342343516
-2.9619e-01,	-3.5664e-01,	1.0063e+01,	-5.6087e-03,	-6.3659e-03,	4.3057e-03,	0.0000e+00,	0,	1460043938271564420,	344856373
-3.0443e-01,	-3.6314e-01,	1.0066e+01,	-7.0395e-03,	-6.5583e-03,	4.5447e-03,	0.0000e+00,	0,	1460043938274043653,	347335606
-3.1334e-01,	-3.6398e-01,	1.0044e+01,	-7.2465e-03,	-6.4261e-03,	4.1809e-03,	0.0000e+00,	0,	1460043938276560718,	349852671
-3.1982e-01,	-3.5937e-01,	1.0015e+01,	-6.5913e-03,	-5.8620e-03,	3.0620e-03,	0.0000e+00,	0,	1460043938279073700,	352365653
-3.3453e-01,	-3.5077e-01,	1.0004e+01,	-5.2174e-03,	-4.9844e-03,	1.9557e-03,	0.0000e+00,	0,	1460043938281553266,	354845219
-3.4693e-01,	-3.4609e-01,	1.0019e+01,	-3.7519e-03,	-4.8543e-03,	1.4174e-03,	0.0000e+00,	0,	1460043938284045998,	357337951
-3.5449e-01,	-3.4766e-01,	1.0034e+01,	-3.6224e-03,	-5.6529e-03,	1.4830e-03,	0.0000e+00,	0,	1460043938286581230,	359873183
-3.5632e-01,	-3.5158e-01,	1.0033e+01,	-4.7408e-03,	-6.0798e-03,	2.1604e-03,	0.0000e+00,	0,	1460043938289069129,	362361082
-3.5318e-01,	-3.5933e-01,	1.0020e+01,	-5.4556e-03,	-6.4060e-03,	3.1061e-03,	0.0000e+00,	0,	1460043938291518111,	364810064
-3.4322e-01,	-3.7217e-01,	1.0007e+01,	-5.2169e-03,	-7.3219e-03,	4.1871e-03,	0.0000e+00,	0,	1460043938294059302,	367351255
-3.3426e-01,	-3.7709e-01,	1.0002e+01,	-5.3359e-03,	-8.0403e-03,	4.3633e-03,	0.0000e+00,	0,	1460043938296569867,	369861820
